Tránsito,Subrasante,Opción,Código,Superficie,Carpeta_cm,Base_cm,Subbase_cm
T2,S2,OP1,A9,Tratamiento superficial,0,21,30
T2,S2,OP2,B10,Carpeta asfáltica,7,18,23
